lito,tema,codigo,puntaje
010746,P,326850,418.75
009538,P,312405,415.0
011464,P,305995,415.0
009942,P,319004,413.75
009465,P,327155,411.25
011836,P,301457,406.25
033963,P,321257,406.25
010306,P,301473,406.25
010867,P,330258,405.0
009126,P,320622,402.5
009053,P,326538,402.5
010897,P,303495,400.0
010697,P,303255,400.0
010266,P,313692,397.5
010427,P,331298,397.5
010992,P,340521,392.5
011758,P,309278,388.75
009226,P,305854,388.75
010948,P,311670,387.5
011774,P,318212,386.25
011605,P,320341,386.25
011269,P,314856,385.0
033893,P,300525,383.75
011717,P,319566,383.75
009329,P,319137,377.5
009708,P,313866,375.0
009210,P,332114,373.75
010911,P,340158,372.5
009766,P,306019,372.5
011171,P,308049,370.0
010469,P,316497,368.75
011117,P,319996,367.5
009412,P,307934,366.25
009043,P,310342,365.0
010778,P,332700,363.75
010448,P,310227,363.75
011355,P,320176,362.5
010693,P,340273,358.75
009081,P,350058,357.5
011709,P,321729,355.0
011866,P,320911,352.5
010986,P,308528,352.5
010315,P,341941,352.5
011551,P,312066,351.25
010533,P,313940,351.25
011767,P,313577,347.5
033967,P,340265,345.0
011659,P,310862,345.0
011278,P,318923,345.0
009588,P,321588,343.75
010054,P,331504,343.75
009826,P,302349,340.0
009631,P,319467,336.25
011288,P,307231,335.0
010577,P,331074,332.5
009672,P,331850,326.25
011164,P,302950,326.25
010703,P,305342,325.0
011385,P,327106,325.0
010205,P,310524,325.0
009619,P,304246,321.25
010359,P,313718,320.0
011142,P,341933,315.0
009494,P,311563,310.0
009442,P,327072,310.0
009687,P,332502,306.25
009988,P,306837,305.0
010800,P,325027,301.25
010611,P,309815,300.0
010743,P,341511,300.0
010756,P,313973,298.75
010186,P,316182,292.5
009747,P,325712,292.5
009830,P,307272,292.5
033909,P,321034,283.75
009469,P,307413,281.25
010651,P,305128,277.5
009223,P,302976,273.75
011156,P,303636,271.25
011811,P,309211,265.0
011569,P,303206,256.25
009347,P,330712,255.0
010603,P,304634,246.25
010702,P,318451,245.0
010341,P,307157,245.0
011652,P,326991,236.25
011634,P,310516,233.75
011371,P,341081,226.25
010553,P,341925,217.5
011675,P,345371,205.0
009797,P,319905,202.5
010960,P,320440,198.75
010102,P,326876,185.0
