lito,tema,codigo,puntaje
011182,S,331918,375.0
009084,S,320788,373.75
009698,S,326439,373.75
009993,S,318535,370.0
011548,S,309344,368.75
010780,S,310847,363.75
010460,S,314690,363.75
010921,S,313247,363.75
010060,S,321570,363.75
011712,S,306977,358.75
009133,S,319806,353.75
011155,S,332072,353.75
009371,S,331314,348.75
010006,S,341305,342.5
011299,S,303982,342.5
009003,S,302620,342.5
033973,S,326124,340.0
009100,S,307041,332.5
010360,S,345504,330.0
009416,S,302901,327.5
009157,S,345066,325.0
010995,S,325076,321.25
009983,S,315259,320.0
010563,S,311001,316.25
010685,S,301101,315.0
011424,S,340760,312.5
011034,S,300558,312.5
011072,S,345660,311.25
011167,S,305912,311.25
010934,S,340638,306.25
010824,S,315408,306.25
011733,S,321158,305.0
010686,S,319186,303.75
011443,S,345694,303.75
010049,S,326611,295.0
011614,S,303669,293.75
011572,S,315150,291.25
009788,S,326934,286.25
009109,S,311092,281.25
009455,S,316117,278.75
009019,S,314351,278.75
010373,S,305805,278.75
011735,S,320119,276.25
009623,S,319418,270.0
010871,S,319038,256.25
011637,S,330563,251.25
011431,S,301523,237.5
009306,S,304337,233.75
011108,S,341792,223.75
010071,S,303305,222.5
009836,S,350033,221.25
010901,S,345678,221.25
009259,S,331769,218.75
009605,S,341206,217.5
009873,S,341768,217.5
009971,S,304410,216.25
009014,S,345132,205.0
011667,S,330720,177.5
010272,S,319053,158.75
011651,S,350124,95.0
