lito,tema,codigo,puntaje
009701,R,341537,388.75
010615,R,314005,388.75
010649,R,316844,387.5
010180,R,321406,386.25
009633,R,314518,385.0
011336,R,312264,382.5
010545,R,318022,378.75
011586,R,301697,378.75
009864,R,315994,371.25
010570,R,331942,365.0
011387,R,302471,363.75
009576,R,309609,363.75
011570,R,306373,361.25
010089,R,331702,353.75
011280,R,321026,351.25
009150,R,350041,350.0
010319,R,320978,348.75
009103,R,302745,345.0
009785,R,341008,343.75
009425,R,327122,342.5
011473,R,331843,342.5
011159,R,303677,341.25
011442,R,302877,340.0
010412,R,345439,337.5
011311,R,332262,337.5
011723,R,316521,332.5
009801,R,340075,330.0
011509,R,301465,328.75
010147,R,304683,326.25
011314,R,345868,326.25
009083,R,307066,325.0
009224,R,318162,322.5
010505,R,321059,320.0
011719,R,309187,320.0
009340,R,317743,317.5
009017,R,301960,312.5
010410,R,308007,307.5
009008,R,306803,301.25
010830,R,311548,300.0
010938,R,325803,298.75
011511,R,316968,295.0
010028,R,315754,292.5
011670,R,331710,290.0
010753,R,314575,288.75
010815,R,326488,285.0
009249,R,326827,282.5
009452,R,313163,280.0
011166,R,316869,278.75
011664,R,332627,265.0
009573,R,319921,263.75
009681,R,326645,258.75
009127,R,302844,255.0
009731,R,320796,245.0
010388,R,330894,240.0
033949,R,313585,240.0
009908,R,308544,232.5
009499,R,325597,228.75
010491,R,345389,227.5
010108,R,326116,223.75
009283,R,331884,213.75
011099,R,307322,211.25
010196,R,317784,196.25
011679,R,325910,167.5
009881,R,340026,162.5
011621,R,306175,91.25
010899,R,319640,0
010223,R,302646,0
