lito,tema,codigo,puntaje
010100,C,340885,427.5
011824,C,303222,427.5
011436,C,300749,417.5
010374,C,320903,416.25
011357,C,304451,416.25
011845,C,303818,416.25
009065,C,326272,413.75
010508,C,303974,412.5
009260,C,340679,411.25
010116,C,301028,410.0
009832,C,308916,410.0
011209,C,315283,407.5
009175,C,302521,406.25
009923,C,311027,406.25
011579,C,326918,405.0
010010,C,310219,403.75
011177,C,345249,403.75
011726,C,314765,396.25
010391,C,310276,395.0
011291,C,305649,393.75
011738,C,311456,390.0
011448,C,350165,386.25
011608,C,325050,386.25
010130,C,315978,386.25
011083,C,313882,385.0
009533,C,315853,385.0
009463,C,311175,385.0
009375,C,308171,383.75
011536,C,315572,382.5
010343,C,317586,382.5
010478,C,341644,380.0
009743,C,317404,376.25
009191,C,304865,373.75
010255,C,341669,373.75
033995,C,320390,371.25
009929,C,312603,366.25
009730,C,309393,365.0
033892,C,326942,363.75
009666,C,332270,360.0
011487,C,325142,357.5
011788,C,325761,352.5
011455,C,308551,350.0
009950,C,346007,347.5
009334,C,315275,346.25
011370,C,319954,345.0
010025,C,304295,342.5
009204,C,316737,342.5
009341,C,330902,340.0
010082,C,309138,340.0
010803,C,310417,338.75
010523,C,313098,337.5
033916,C,330613,333.75
011684,C,318329,332.5
009703,C,325589,330.0
011462,C,345769,320.0
010067,C,301853,318.75
011332,C,332247,317.5
011225,C,317412,307.5
010123,C,325720,306.25
011475,C,321315,305.0
011195,C,306035,302.5
033936,C,313395,300.0
009602,C,309963,300.0
010677,C,318709,300.0
011232,C,307140,296.25
009645,C,340950,295.0
009984,C,316729,293.75
011091,C,330944,292.5
010471,C,350017,286.25
011680,C,314336,285.0
009305,C,318121,283.75
010176,C,319608,281.25
009460,C,318832,281.25
010554,C,320275,281.25
010550,C,341180,281.25
010892,C,307462,280.0
010695,C,306233,280.0
010035,C,305193,276.25
011850,C,319319,265.0
009315,C,321547,261.25
010162,C,331876,260.0
010246,C,314484,260.0
010944,C,320242,257.5
011148,C,315531,257.5
011341,C,330670,253.75
009182,C,345017,251.25
010405,C,340620,251.25
009697,C,332650,245.0
009078,C,341958,245.0
011096,C,332007,230.0
010998,C,317735,226.25
009911,C,306092,215.0
011508,C,310904,202.5
011303,C,306613,187.5
010929,C,315820,178.75
010905,C,303370,160.0
010278,C,310755,152.5
033882,C,340448,145.0
009804,C,307538,136.25
009110,C,301564,18.75
