lito,tema,codigo,puntaje
011057,D,320101,406.25
010953,D,307314,405.0
009022,D,305185,403.75
009706,D,312462,401.25
009741,D,345421,400.0
009464,D,326520,397.5
010549,D,340596,395.0
010770,D,302372,390.0
010991,D,345488,390.0
009913,D,319624,388.75
010270,D,318337,388.75
011302,D,313791,388.75
011147,D,307777,387.5
009713,D,320358,387.5
009972,D,314286,382.5
010302,D,332544,381.25
011333,D,308890,378.75
011178,D,305748,376.25
011780,D,330506,375.0
010907,D,309245,373.75
011283,D,320135,370.0
011830,D,341255,366.25
009336,D,345413,363.75
010432,D,307710,363.75
010941,D,301051,363.75
009434,D,310326,363.75
009185,D,331348,357.5
009949,D,321331,357.5
009508,D,306597,356.25
009304,D,312215,356.25
009317,D,340893,353.75
011084,D,301218,350.0
011525,D,303776,350.0
010576,D,302034,348.75
033923,D,340851,346.25
009549,D,341693,345.0
010502,D,321463,343.75
010419,D,313833,340.0
009372,D,318840,337.5
010383,D,315523,335.0
011049,D,317537,332.5
011115,D,311662,330.0
009845,D,325852,327.5
009647,D,318998,327.5
009023,D,345611,327.5
009215,D,341529,321.25
010588,D,319681,320.0
011804,D,311274,320.0
010282,D,319590,318.75
011716,D,311704,315.0
009679,D,325431,313.75
011289,D,326165,311.25
010661,D,311928,305.0
011708,D,318766,305.0
010172,D,306282,305.0
011364,D,314385,303.75
009570,D,340786,297.5
010930,D,345686,297.5
010935,D,308262,280.0
010913,D,331587,278.75
010602,D,340588,276.25
011268,D,340737,270.0
010131,D,350066,270.0
010657,D,305466,267.5
009454,D,341065,262.5
011106,D,341834,261.25
011432,D,345520,258.75
034000,D,300889,258.75
011043,D,340034,256.25
010497,D,341149,253.75
010263,D,314328,248.75
009933,D,307363,246.25
009980,D,302729,246.25
010095,D,309542,245.0
009049,D,341800,245.0
009506,D,331967,241.25
010236,D,313619,237.5
009813,D,311449,233.75
009152,D,318014,232.5
009920,D,304329,206.25
010917,D,317305,205.0
009428,D,326025,202.5
010606,D,340653,196.25
010002,D,309112,195.0
009073,D,350108,173.75
010299,D,326371,163.75
009536,D,332189,146.25
010489,D,340414,113.75
011239,D,33203 ,108.75
011203,D,317495,107.5
